Bus Stop Name,Rajiv Gandhi,Mata Gujri,Vishnupuri,Bhanwarkuan Square,Holkar Subway,Navlakha Square,Indra Pratima,GPO,Shivaji Vatika,AICTSL,Geeta Bhawan,Palasiya,Industry House,LIG,Press Complex,MR-9,Vijay Nagar,Satya Sai,Shalimar Township,Scheme No. 78,Niranjanpur Square
Distance (in km),0,0.75,1.2,1.7,2,3,3.3,3.7,4.4,4.9,5.4,6.1,6.6,7.2,7.5,8.2,8.9,9.5,10.4,10.9,11.4
Rajiv Gandhi,0,7,5,52,19,30,16,71,24,40,100,80,30,61,16,50,39,9,13,16,23
Mata Gujri,15,0,4,43,8,24,14,24,15,15,43,37,12,23,5,30,22,8,9,11,10
Vishnupuri,8,6,0,21,10,17,9,25,8,16,45,31,0,20,6,21,16,5,4,4,8
Bhanwarkuan Square,24,11,7,0,22,53,27,119,32,73,232,176,40,169,13,91,82,12,18,20,26
Holkar Subway,8,4,3,31,0,12,5,18,10,11,26,38,14,30,4,9,12,5,6,6,5
Navlakha Square,25,20,20,182,47,0,66,145,33,58,299,316,58,223,29,201,133,24,23,42,46
Indra Pratima,18,11,9,66,20,52,0,69,21,47,89,78,39,87,13,55,36,15,9,20,25
GPO,17,11,6,127,21,72,16,0,30,43,152,131,24,140,12,79,67,8,11,13,15
Shivaji Vatika,6,4,3,26,14,13,7,31,0,11,32,20,15,21,4,11,8,4,6,9,7
AICTSL,14,5,3,57,19,20,23,39,18,0,61,43,18,47,7,27,21,5,6,16,10
Geeta Bhawan,21,10,9,246,34,75,28,102,36,49,0,231,53,169,22,88,36,12,13,17,17
Palasiya,30,13,10,243,33,119,31,128,26,44,205,0,35,150,12,112,82,8,13,20,22
Industry House,9,5,0,44,14,21,10,40,10,26,53,42,0,41,8,18,13,6,5,10,9
LIG,21,11,9,141,22,77,26,95,31,44,186,172,43,0,15,97,75,5,10,19,17
Press Complex,13,7,6,43,25,35,18,32,18,24,46,51,15,48,0,26,28,11,10,10,13
MR-9,32,20,17,150,40,220,60,146,27,58,364,188,77,268,26,0,124,26,30,37,50
Vijay Nagar,30,23,13,220,39,122,46,201,50,49,174,287,57,214,27,162,0,16,28,45,43
Satya Sai,7,6,9,38,16,21,12,23,11,16,44,29,18,27,4,22,15,0,12,10,10
Shalimar Township,15,8,7,30,20,19,11,43,13,25,56,39,12,50,12,32,24,7,0,8,16
Scheme No. 78,26,11,7,85,25,42,13,36,17,34,41,70,36,71,10,45,38,8,14,0,22
Niranjanpur Square,20,9,9,63,21,29,27,56,16,28,85,45,17,51,16,45,40,10,17,25,0